id,name,address,country,contact_person,phone,email,product_category,critical_level
1,"""Avnet""",""" Inc. (Corporate HQ)""","""2211 S. 47th Street, Phoenix, AZ 85034, USA""","""United States""","""na""","""+1 480-643-2000""","""onlinesupportUS@avnet.com""","""electronic components distribution"""
2,"""Avnet Integrated Solutions HQ""","""6700 W. Morelos Place, Chandler, AZ 85226, USA""","""United States""","""na""","""+1 480-643-2000""","""integrated@avnet.com""","""integrated solutions""","""high"""
3,"""Avnet Sales – Huntsville""",""" AL""","""Huntsville, AL, USA""","""United States""","""na""","""na""","""huntsville@avnet.com""","""distribution"""
4,"""Avnet Sales – Irvine""",""" CA""","""Irvine, CA, USA""","""United States""","""na""","""na""","""irvine@avnet.com""","""distribution"""
5,"""Avnet Sales – San Diego""",""" CA""","""San Diego, CA, USA""","""United States""","""na""","""na""","""sandiego@avnet.com""","""distribution"""
6,"""Avnet Sales – San Jose""",""" CA""","""San Jose, CA, USA""","""United States""","""na""","""na""","""sanjose@avnet.com""","""distribution"""
7,"""Avnet Sales – Woodland Hills""",""" CA""","""Woodland Hills, CA, USA""","""United States""","""na""","""na""","""woodlandhills@avnet.com""","""distribution"""
8,"""Avnet Sales – Denver""",""" CO""","""Denver, CO, USA""","""United States""","""na""","""na""","""denver@avnet.com""","""distribution"""
9,"""Avnet Sales – Wallingford""",""" CT""","""Wallingford, CT, USA""","""United States""","""na""","""na""","""connecticut@avnet.com""","""distribution"""
10,"""Avnet Sales – Orlando""",""" FL""","""Orlando, FL, USA""","""United States""","""na""","""na""","""orlando@avnet.com""","""distribution"""
11,"""Avnet Sales – Atlanta""",""" GA""","""Atlanta, GA, USA""","""United States""","""na""","""na""","""atlanta@avnet.com""","""distribution"""
12,"""Avnet Sales – Chicago""",""" IL""","""Chicago, IL, USA""","""United States""","""na""","""na""","""chicago@avnet.com""","""distribution"""
13,"""Avnet Sales – Indianapolis""",""" IN""","""Indianapolis, IN, USA""","""United States""","""na""","""na""","""indianapolis@avnet.com""","""distribution"""
14,"""Avnet Sales – Kansas City""",""" KS""","""Kansas City, KS, USA""","""United States""","""na""","""na""","""kansascity@avnet.com""","""distribution"""
15,"""Avnet Sales – Baltimore""",""" MD""","""Baltimore, MD, USA""","""United States""","""na""","""na""","""baltimore@avnet.com""","""distribution"""
16,"""Avnet Sales – Boston""",""" MA""","""Boston, MA, USA""","""United States""","""na""","""na""","""boston@avnet.com""","""distribution"""
